"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"512","Rasmus Andersson","CGY","D","56","46.45","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","1","3","0","2","0","4","0","0","-"
"513","Kyle Connor","WPG","L","56","7.1333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","-"
"514","Jonas Siegenthaler","N.J, WSH","D","15","31.366666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","-"
"515","Colin White","OTT","C","45","0.76666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50.00"
"516","Pavel Zacha","N.J","C","50","66.75","0","0","0","0","0","-","4","0.00","0.38","5","5","2","2","2","0","0","0","0","0","0","0","1","2","2","2","3","31","38","44.93"
"517","Connor McDavid","EDM","C","56","7.8666666666667","0","0","0","0","0","-","0","-","0.05","2","2","2","1","0","0","0","0","0","0","0","0","0","0","2","1","0","0","3","0.00"
"518","Jack Eichel","BUF","C","21","1.4","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.00"
"519","Vince Dunn","STL","D","43","3.1666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","-"
"520","Travis Dermott","TOR","D","51","22.5","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","2","1","0","0","-"
"521","Jordan Greenway","MIN","L","56","63.133333333333","0","0","0","0","0","0.00","1","0.00","0.09","3","3","0","0","0","0","2","1","1","0","0","0","0","0","3","1","6","2","1","66.67"
"522","Timo Meier","S.J","R","54","8.2666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"523","Jakub Zboril","BOS","D","42","24.966666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","2","1","1","0","0","-"
"524","Erik Cernak","T.B","D","46","126.96666666667","0","0","0","0","0","-","3","0.00","0.16","5","4","2","1","0","0","4","2","2","0","0","2","2","0","8","1","21","0","0","-"
"525","Mikko Rantanen","COL","R","52","1.5333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","1","0","0","0","0","-"
"527","Oliver Kylington","CGY","D","8","0.083333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"528","Evgeny Svechnikov","DET","R","21","0.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"529","Christian Fischer","ARI","R","52","93.566666666667","0","0","0","0","0","-","6","0.00","0.54","7","6","5","2","2","0","0","0","0","0","0","0","0","2","5","1","6","2","1","66.67"
"530","Keegan Kolesar","VGK","R","44","0.11666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"531","Dylan Strome","CHI","C","40","2.75","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","33.33"
"532","Brandon Carlo","BOS","D","27","72.166666666667","0","0","0","0","0","0.00","2","0.00","0.04","2","2","1","0","0","0","2","1","1","0","0","0","1","1","4","2","13","0","0","-"
"534","Mathew Barzal","NYI","C","55","2.95","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","1","0","0","0","-"
"535","Nicholas Merkley","N.J","R","27","0.18333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"536","Roope Hintz","DAL","L","41","50.533333333333","0","0","0","0","0","0.00","2","0.00","0.44","5","4","3","2","0","0","0","0","0","0","0","0","2","2","2","0","4","23","19","54.76"
"537","Ethan Bear","EDM","D","43","78.633333333333","0","0","0","0","0","0.00","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","1","5","1","2","0","17","0","0","-"
"538","Caleb Jones","EDM","D","33","19.733333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","5","0","0","-"
"539","Noah Juulsen","FLA","D","4","1.2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"540","Austin Wagner","L.A","L","44","1.45","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
